1;35
2;39
3;43
4;48
5;54
6;60
7;67
8;75
9;84
10;94
11;105
12;118
13;132
14;148
15;166
16;186
17;209
18;235
19;264
20;297
21;334
22;375
23;421
24;473
25;532
26;598
27;672
28;756
29;850
30;956
31;1075
32;1209
33;1360
34;1530
35;1721
36;1936
37;2178
38;2450
39;2756
40;3100
41;3487
42;3922
43;4412
44;4963
45;5583
46;6280
47;7065
48;7948
49;8941
50;10058
51;11315
52;12729
53;14320
54;16110
55;18123
56;20388
57;22936
58;25803
59;29028
60;32656
61;36738
62;41330
63;46496
64;52308
65;58846
66;66201
67;74476
68;83785
69;94258
70;106040
71;119295
72;134206
73;150981
74;169853
75;191084
76;214969
77;241840
78;272070
79;306078
80;344337
81;387379
82;435801
83;490276
84;551560
85;620505
86;698068
87;785326
88;883491
89;993927
90;1118167
91;1257937
92;1415179
93;1592076
94;1791085
95;2014970
96;2266841
97;2550196
98;2868970
99;3227591
100;3631039
